Specimen,Species,Common,SzCl,SizeRangeLb,SizeRangeKg,SkelPort,LPort,Element,Side,ActorTaxon,Effector,NumBreaks,trab,Surface Area,Volume,Bounding Box Dim1,Bounding Box Dim2,Bounding Box Dim3
MN10AA0503,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,3,False,5416.934,11039.860677083334,72.265396,28.83693,26.350298
MN10AA0506,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,4,False,1480.5614,2642.7721354166665,37.461906,22.766037,9.324125
MN10AA0603,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,12,False,4389.371,8649.932291666666,80.6089,25.30595,17.25242
MN10AA0604,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,3,False,2784.7112,4587.419596354167,85.49541,19.725739,8.677063
MN10AA0607,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,5,False,1221.9553,2029.8653971354167,43.385487,12.566452,10.962654
MN10AA0705,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,7,False,3848.4414,6605.420572916667,81.53912,23.322014,13.811296
MN10AA0706,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1689.5548,2615.29443359375,66.79654,13.228633,8.350239
MN10AA0707,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,6,False,2414.422,4510.836263020833,56.289307,21.069809,15.11335
MN10AA0708,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1668.5088,2293.3922526041665,50.87493,19.293837,8.4665165
MN10AA0709,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,6,False,1728.4218,3353.1988932291665,33.111053,23.764235,14.201297
MN10AA0803,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,4552.7383,9056.704427083334,127.12352,20.211878,13.822287
MN10AA0804,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,7,False,2790.5,5216.1474609375,64.917694,19.867744,17.190554
MN10AA0809,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,3,False,1030.9469,1448.06787109375,32.826237,19.849838,8.605427
MN10AA0903,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,6,False,10675.954,28212.921875,132.3567,35.37931,23.987473
MN10AA0904,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,6,False,2556.6501,4775.558268229167,61.636818,23.218496,9.802963
MN10AA0905,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,4,False,1558.34,2445.2019856770835,60.00226,13.776306,9.366137
MN10AA0906,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,3,False,1597.8849,2731.4557291666665,52.969524,14.502096,12.190846
MN10AA0907,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,5,False,4206.0454,10682.106770833334,70.2558,26.770245,16.962158
MN10AA0908,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,3,False,1389.6113,1829.2478841145837,46.819843,15.401802,8.940788
MN10AA1003,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,10,False,5534.769,11567.024739583334,80.814316,31.046923,15.063194
MN10AA1004,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,7,False,2389.5488,4793.047200520833,59.645844,20.344341,10.164818
MN10AA1005,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1874.9092,3723.8531901041674,49.62864,18.693283,8.568516
MN10AA1007,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,6,False,1410.6874,2264.455403645833,41.3656,17.401978,10.738619
MN10AA1011,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1001.04425,1261.9654947916667,36.55057,13.676809,6.716212
MN10AA1302,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,10369.028,18813.39192708333,148.26526,35.12336,22.762234
MN10AA1406,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,3,False,1057.4241,1179.5992024739585,43.14477,15.336891,6.1663036
MN10AA1508,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,2,True,1281.4701,1505.5322265625,41.477295,15.78976,6.055704
MN10AA1509,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,4,True,2195.265,3045.0553385416665,75.147354,19.837107,7.8288836
MN10AA1514,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,left,Homo sapiens,HSAnv,2,False,1198.1733,1524.8509114583333,44.391968,16.74257,6.206916
MN10AA1904,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,5,True,4978.346,10344.529296875,63.048462,38.32293,21.972927
MN10AA1905,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,2,True,3728.4246,5549.324869791667,79.81265,26.69126,14.465281
MN10AA1906,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,5,False,2709.8271,3586.979817708333,72.45298,22.653328,6.7906456
MN10AA1907,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,5,True,1473.2816,1949.3639322916667,42.538483,25.538393,10.240192
MN10AA2003,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,6,False,8055.867,20157.62890625,143.00388,32.60212,20.337933
MN10AA2004,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,4,False,3075.2346,7095.943359375,85.11572,22.02158,11.090262
MN10AA2005,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,9,False,5179.6475,12678.821614583334,86.94643,33.60587,14.603069
MN10AA2006,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,2967.23,6024.748046875,80.53839,22.601143,14.0621395
MN10AA2007,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,2029.3457,3976.0016276041674,54.25721,22.322474,12.847425
MN10AA2105,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,6,False,5368.5146,11964.337239583334,102.63789,22.899326,17.026514
MN10AA2106,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,12,False,3906.6,9184.73828125,78.4962,27.557148,19.567162
MN10AA2109,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,5,False,1608.8751,2276.9205729166665,59.02558,14.897253,8.096484
MN10AA2110,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,3,False,750.9664,814.4981282552084,39.750587,11.719278,5.3880186
MN10AA2112,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,4,False,758.1404,818.7747395833334,34.911835,12.102136,5.041471
MN10AA2113,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,4,False,618.05597,729.3710123697916,30.091234,11.935756,7.031163
MN10AA2114,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,3,False,745.7599,781.525634765625,40.904232,12.851627,4.379199
MN10AA2204,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,7,True,7256.301,16112.6640625,126.84596,27.525604,17.271873
MN10AA2206,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,6,False,3346.1228,4915.122395833333,83.36353,21.688662,10.334688
MN10AA2207,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,10,False,1633.7378,2953.8056640625,49.342064,17.816715,9.206177
MN10AA2208,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,9,False,2659.9307,5363.8857421875,76.04625,18.652618,10.287044
MN10AA2211,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,2,False,688.5745,462.4017333984375,49.546234,10.549675,3.7261357
MN10AA2303,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,8,False,2049.2166,3892.552734375,44.6514,25.78979,10.197342
MN10AA2304,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,6,False,2014.7014,2649.703450520833,40.841278,33.689167,11.524335
MN10AA2305,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,4,False,1179.9867,1576.4036458333333,47.86023,16.601875,8.224443
MN10AA2306,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,5,False,1574.8461,2632.01123046875,42.710625,19.27726,8.964161
MN10AA2310,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,right,Homo sapiens,HSAnv,5,False,699.6343,1013.8668619791666,25.793655,14.262678,7.878256
MN10AA2404,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,8,False,8210.72,16667.471354166668,130.66698,32.86598,16.228964
MN10AA2405,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,6,False,2954.5676,5204.201822916667,79.90483,22.70728,12.558285
MN10AA2408,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,True,2406.8052,3488.3014322916665,60.370796,27.124184,11.187605
MN10AA2409,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Homo sapiens,HSAnv,5,False,2336.8684,3897.919921875,46.48924,25.395964,10.237652
MN10AA2504,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,5,False,4167.5425,6823.033854166667,79.99819,30.582336,10.358
MN10AA2505,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,8,False,2721.8914,5455.748697916667,42.108547,28.987902,14.396439
MN10AA2506,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,7,False,2264.423,4466.10546875,44.165558,21.141573,17.521383
MN10AA2507,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,6,False,2774.8774,4599.390625,79.80648,17.848408,8.584984
MN10AA2508,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,6,False,2248.3813,4143.319010416667,67.27081,20.983036,8.706232
MN10AA2509,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,right,Homo sapiens,HSAnv,2,False,822.3468,612.5413411458334,31.884144,19.570358,4.124787
MN10AA2603,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,4,False,7242.499,16714.873697916668,107.07486,30.798265,17.314356
MN10AA2604,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,7,False,1221.3364,1413.95556640625,39.099182,29.423832,10.007759
MN10AA2605,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,7,False,2582.0122,3907.2255859375,77.640785,20.410759,8.855798
MN10AA2606,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,3,False,2161.4014,2591.5807291666665,107.10263,12.600521,9.091173
MN10AA2607,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,6,False,1677.077,2609.5734049479165,50.340225,16.409595,12.184639
MN10AA2608,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,6,False,961.17194,951.7582194010416,49.26023,9.929679,6.06398
MN10AA2703,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,fem,left,Homo sapiens,HSAnv,6,True,6480.801,12270.453125,102.694824,33.61982,21.120007
MN10AA2704,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,fem,left,Homo sapiens,HSAnv,6,False,6594.116,11895.6484375,101.777664,35.409187,14.926666
MN10AA2705,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,fem,left,Homo sapiens,HSAnv,16,True,3664.314,5640.243489583333,58.5761,40.69016,13.139678
MN10AA2803,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,3992.4282,6019.0546875,109.068085,21.964863,8.597069
MN10AA2804,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,4,False,3473.4712,6369.3359375,104.81839,23.243755,9.226753
MN10AA2805,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,1943.5392,3412.215169270833,56.46458,19.4547,9.710851
MN10AA2806,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,5,False,1954.1086,3164.626302083333,62.94237,18.517876,7.41638
MN10AA2807,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,6,False,690.1222,859.9453938802084,25.455984,13.69664,7.4079504
MN10AA2808,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,3,False,1359.4525,1639.06005859375,50.997173,21.366812,7.7429695
MN10AA2809,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,middle,tib,left,Homo sapiens,HSAnv,3,False,709.6428,848.095703125,33.85509,12.027096,8.139877
MN10AA2902,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,6,False,3439.4453,5206.4951171875,57.788174,29.496696,14.312627
MN10AA2904,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,4,False,1715.0641,2658.7548828125,56.717407,21.360046,8.938295
MN10AA2905,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,4,False,1277.0289,1712.4235026041667,40.469627,21.709534,7.0097904
MN10AA2906,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,8,False,1445.7029,1983.26318359375,56.01731,16.432396,6.512993
MN10AA2907,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,5,False,793.91425,803.9700520833334,34.50759,12.990055,4.302405
MN10AA2908,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,7,False,1197.0137,1468.0340169270833,57.840332,11.46645,6.7194004
MN10AA2909,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,4,False,831.7343,1119.798583984375,33.868835,10.788982,10.174078
MN10AA2910,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,right,Homo sapiens,HSAnv,3,False,728.6452,1102.9264322916667,24.809816,14.087254,11.1201725
MN10AA3003,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,1629.7214,2382.650390625,52.52113,15.19665,7.433461
MN10AA3004,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,701.0307,665.2237548828125,46.61066,11.849664,5.131685
MN10AA3005,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,736.4073,848.4119466145834,39.165955,13.028643,5.878316
MN10AA3102,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,9,False,10681.936,17960.751302083332,167.63913,23.600283,22.623804
MN10AA3103,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,10,False,3304.4924,5419.7392578125,70.70511,25.606342,10.71749
MN10AA3202,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,6,False,8219.429,15457.354166666666,168.35065,30.730515,13.723442
MN10AA3203,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,4,False,3922.1726,6887.477213541667,103.1461,21.0537,12.942215
MN10AA3204,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,6,False,3165.727,6696.219401041667,66.92072,24.241627,12.1429
MN10AA3205,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,5,False,1387.585,2414.279296875,48.981926,17.2357,9.717733
MN10AA3302,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,7,True,4802.0547,7719.158203125,90.985504,30.553299,15.895699
MN10AA3303,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,7,True,4891.5195,8033.912760416667,87.135025,33.88222,13.912117
MN10AA3304,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,6,False,2458.5295,4274.017903645833,58.87404,26.314236,8.565655
MN10AA3305,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,proximal,hum,left,Homo sapiens,HSAnv,4,False,896.1004,729.2012532552084,33.070152,22.605495,6.0086594
MN10AA3402,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,6,False,3666.1226,5870.520833333333,82.985855,25.612843,12.536163
MN10AA3403,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,5,False,799.20294,997.2081705729166,34.452255,11.934549,7.08894
MN10AA3404,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,7,False,1867.2177,2743.595052083333,68.51552,19.076073,7.2397747
MN10AA3405,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,middle,rad-uln,left,Homo sapiens,HSAnv,7,False,1413.1581,2025.359375,44.362453,15.126481,8.954102
MN11AA0403,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,8,True,8122.406,21252.98046875,143.25903,28.204674,20.977104
MN11AA0404,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,6,False,3791.8745,7957.193359375,91.11704,21.623734,12.091389
MN11AA0405,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,5,False,3308.8079,7631.174479166667,72.96306,23.587643,11.607752
MN11AA0407,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,8,False,4015.0007,8640.0234375,96.7552,22.266817,12.719315
MN11AA0408,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,right,Homo sapiens,HSAnv,5,False,2980.6062,5483.485026041667,95.69,17.123955,9.934761
MN11AA0503,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,2146.748,3758.2340494791674,53.026745,23.700356,12.091561
MN11AA0504,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,3,False,623.2737,680.1499837239584,33.586044,10.257854,8.075281
MN11AA0505,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,636.62683,670.2806803385416,37.446903,9.924065,7.144457
MN11AA0506,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,770.28394,1043.546142578125,24.758808,17.029133,12.013346
MN11AA0603,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,9,False,7699.7344,16098.748697916666,113.50536,33.575317,16.726364
MN11AA0604,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,4,False,3949.136,7600.766927083333,63.85918,31.486824,14.516951
MN11AA0605,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,2,False,2886.6836,5826.038411458333,59.52569,24.101437,10.941694
MN11AA0606,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1510.3007,2681.8146158854165,42.30002,18.759043,9.945545
MN11AA0703,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,8,False,5883.7847,13319.53125,88.515564,32.547752,18.919586
MN11AA0706,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,right,Homo sapiens,HSAnv,5,False,1598.5182,2410.44091796875,67.52536,15.673961,9.590221
MN11AA0904,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,9,False,1213.3396,1961.24853515625,42.38508,16.973291,8.283209
MN11AA0906,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,5,False,1050.3539,1914.484375,31.638063,18.992325,9.278173
MN11AA1003,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,distal,mttar,left,Homo sapiens,HSAnv,7,False,5227.9087,12099.526041666666,79.33346,30.67891,21.390326
MN11AA1107,Cervus canadensis,Elk,3.0,250-750,113-340,forelimb,distal,mtcar,left,Homo sapiens,HSAnv,3,False,1054.4385,1849.6643880208333,24.823446,20.022636,10.747137
MN12AA0102,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,10,True,4252.7896,8890.31640625,91.53367,25.41079,15.332504
MN12AA0104,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,False,4257.3965,9141.233072916666,78.998505,30.760294,17.460651
MN12AA0105,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,12,True,3527.7324,7280.376953125,70.72972,26.92352,11.400402
MN12AA0106,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,7,False,2742.731,4285.935872395833,64.56014,25.857367,12.3991
MN12AA0110,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,5,False,1766.6158,2529.6484375,46.770615,25.39427,7.7352433
MN12AA0202,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,15,True,5934.9307,11481.60546875,97.45408,29.527126,20.041647
MN12AA0203,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,11,False,5132.5483,9993.170572916666,97.2829,31.073448,16.609102
MN12AA0204,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,8,False,3496.0654,7597.110026041667,74.802216,27.195208,11.86124
MN12AA0205,Cervus canadensis,Elk,3.0,250-750,113-340,hindlimb,proximal,fem,right,Crocuta crocuta,teeth,6,False,2309.5925,3704.7965494791674,56.529655,22.96799,12.498588
